cota;vazao;;COTA INTERPOLADA Manaus;cota (original medição);area;vm;metodo;data;DIA;0,2917;cota_D_7h;cota_D+1_7h;Cota_Paricatuba;comentario;fonte;operador;local
1702;13445;;1702;1724;66928;0,201;;20/10/2015 12:05;20/10/2015 00:00;0,212;1707;1684;1725,5;;banco cprm 14911000;;
1713;16471;;1713;1723;67420;0,244;4 - ADCP RiverRay de 600 kHz;02/11/2018 10:00;02/11/2018 00:00;0,125;1713;1711;0;;banco cprm 14911000;Nailde Andrade e Luana Lisboa;
1720;14200;;1720;1719;;;ADCP;01/11/2002 12:00;01/11/2002 00:00;0,208;1719;1725;0;HYBAM BR30 Manaus;hydraccess;;manaus
1699;14300;;1699;1699;;;ADCP;26/11/1999 12:00;26/11/1999 00:00;0,208;1699;1701;0;HYBAM BR16 Manaus;hydraccess;;manaus
1713;16471;;1713;1696;67420;0,244;4 - ADCP RiverRay de 600 kHz;02/11/2018 10:00;02/11/2018 00:00;0,125;1713;1711;0;;banco cprm 14990000;Nailde Andrade e Luana Lisboa;
1663;13069;;1663;1661;;;ADCP;11/11/2005 12:00;11/11/2005 00:00;0,208;1661;1671;0;NPF Manaus;hydraccess;;
1610;14249;;1610;1637;63514;0,224;;30/11/2012 11:38;30/11/2012 00:00;0,193;1609;1616;0;;banco cprm 14990000;;
1602;12311;;1602;1599;;;ADCP;13/11/1995 12:00;13/11/1995 00:00;0,208;1599;1613;0;HYBAM BR04 Manaus;hydraccess;;manaus
1545;21614;;1545;1547;;;ADCP;14/10/2005 12:00;14/10/2005 00:00;0,208;1547;1539;0;CPRM Manaus;hydraccess;;
1490;17432;;1490;1491;;;ADCP;21/10/2005 12:00;21/10/2005 00:00;0,208;1491;1485;0;NPF Manaus;hydraccess;;
1466;15000;;1466;1462;60980;0,245982289;ADCP 600 KHz + GPS;18/11/2010 10:30;18/11/2010 00:00;0,146;1464,5;1475;0;BT --> 4 BT (3 cm/s) | ;hydraccess;CPRM;paricatuba
1417;17480;;1417;1427;59460;0,293979138;ADCP 600 KHz;19/10/2010 14:00;19/10/2010 00:00;0,292;1422,5;1405;0;BT --> 4 BT ( cm/s) | ;hydraccess;CPRM;paricatuba
2293;21044;;2293;683;69898;0,3;;11/09/2016 11:35;11/09/2016 00:00;0,191;2296;2278;0;;banco cprm 14911000;;
